Date.harvested,Plot.ID,Species,Plant.replicate,Plot.plant.rep,Waitzia.density.bin,Density.for.x,Waitzia.starting.density,Treatment,Treatment.col,Height.plant,Biomass.plant,Notes,Seed.mass.total,Total.flowercount.plant,Seedpred
19/12/2013,WA2,W.acuminata,W.1,WA2.W.1,low,1,12,mixture,152,150,0.1127,ORANGE,0.0031,4,0
19/12/2013,WA2,W.acuminata,W.10,WA2.W.10,low,1,12,mixture,152,240,0.6058,,,24,0
19/12/2013,WA2,W.acuminata,W.11,WA2.W.11,low,1,12,mixture,152,165,0.2635,,,12,0
19/12/2013,WA2,W.acuminata,W.2,WA2.W.2,low,1,12,mixture,152,NA,0.1675,"NO HEIGHT, pink seeds",0.0044,8,0
19/12/2013,WA2,W.acuminata,W.3,WA2.W.3,low,1,12,mixture,152,217,0.5769,"BLUE, SEEDS",0.0128,24,0
19/12/2013,WA2,W.acuminata,W.4,WA2.W.4,low,1,12,mixture,152,266,0.7548,,,26,0
19/12/2013,WA2,W.acuminata,W.5,WA2.W.5,low,1,12,mixture,152,233,0.4393,,,14,0
19/12/2013,WA2,W.acuminata,W.7,WA2.W.7,low,1,12,mixture,152,NA,0.1406,NO HEIGHT,,6,0
19/12/2013,WA2,W.acuminata,W.8,WA2.W.8,low,1,12,mixture,152,175,0.2586,,,15,0
19/12/2013,WA2,W.acuminata,W.9,WA2.W.9,low,1,12,mixture,152,167,0.1852,,,10,0
19/12/2013,WA2,W.acuminata,W.6,WA2.W.6,low,1,12,mixture,152,165,0.3593,,,10,0
3-Nov-13,WA2,A.cupaniana,A.14,WA2.A.14,low,1,12,NA,NA,152,0.0077,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.13,WA2.A.13,low,1,12,NA,NA,220,0.0128,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.15,WA2.A.15,low,1,12,NA,NA,255,0.017,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.12,WA2.A.12,low,1,12,NA,NA,210,0.0111,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.11,WA2.A.11,low,1,12,NA,NA,220,0.0122,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.10,WA2.A.10,low,1,12,NA,NA,114,0.0028,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.9,WA2.A.9,low,1,12,NA,NA,163,0.0072,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.8,WA2.A.8,low,1,12,NA,NA,118,0.0035,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.7,WA2.A.7,low,1,12,NA,NA,84,0.0016,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.6,WA2.A.6,low,1,12,NA,NA,95,0.0023,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.5,WA2.A.5,low,1,12,NA,NA,147,0.0033,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.4,WA2.A.4,low,1,12,NA,NA,125,0.0038,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.3,WA2.A.3,low,1,12,NA,NA,180,0.0103,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.2,WA2.A.2,low,1,12,NA,NA,173,0.0102,,NA,NA,NA
3-Nov-13,WA2,A.cupaniana,A.1,WA2.A.1,low,1,12,NA,NA,152,0.0057,,NA,NA,NA
29/11/2013,WA3,W.acuminata,W.1,WA3.W.1,low,1,4,mixture,152,240,1.81908,,0.0116,23,1
7/12/2013,WA3,W.acuminata,W.2,WA3.W.2,low,1,4,mixture,152,128,0.1719,,0.0025,11,1
19/12/2013,WA3,W.acuminata,W.3,WA3.W.3,low,1,4,mixture,152,305,0.8021,,,35,1
19/12/2013,WA3,W.acuminata,W.4,WA3.W.4,low,1,4,mixture,152,225,1.181,,,45,1
3-Nov-13,WA3,A.cupaniana,A.14,WA3.A.14,low,1,4,NA,NA,240,0.0672,,NA,NA,NA
3-Nov-13,WA3,A.cupaniana,A.13,WA3.A.13,low,1,4,NA,NA,197,0.0204,,NA,NA,NA
3-Nov-13,WA3,A.cupaniana,A.12,WA3.A.12,low,1,4,NA,NA,205,0.014,,NA,NA,NA
3-Nov-13,WA3,A.cupaniana,A.11,WA3.A.11,low,1,4,NA,NA,163,0.0084,,NA,NA,NA
3-Nov-13,WA3,A.cupaniana,A.10,WA3.A.10,low,1,4,NA,NA,143,0.0076,,NA,NA,NA
3-Nov-13,WA3,A.cupaniana,A.1,WA3.A.1,low,1,4,NA,NA,140,0.0112,,NA,NA,NA
3-Nov-13,WA3,A.cupaniana,A.9,WA3.A.9,low,1,4,NA,NA,117,0.0122,,NA,NA,NA
3-Nov-13,WA3,A.cupaniana,A.8,WA3.A.8,low,1,4,NA,NA,187,0.0113,,NA,NA,NA
3-Nov-13,WA3,A.cupaniana,A.7,WA3.A.7,low,1,4,NA,NA,148,0.0043,,NA,NA,NA
3-Nov-13,WA3,A.cupaniana,A.6,WA3.A.6,low,1,4,NA,NA,295,0.0232,,NA,NA,NA
3-Nov-13,WA3,A.cupaniana,A.5,WA3.A.5,low,1,4,NA,NA,185,0.0232,,NA,NA,NA
