Pot.ID,Species.combo,Density,Density.bin.adjusted,Trtmnt.replicate,Species,Final.density,Starting.density,Competitor.ID,Conspecific.abundance,Rel.freq,Plant.rep.unique,Plant.replicate,Height,Biomass.plant,Biomass.sp,Finalcount.sp,Budding.binomial,Repro.count.sp,Number.flowers.plant,Mean.biomass.plant,Root.biomass.sp
Wa.Ac.L.1,Wa.Ac,L,mix.low,1,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.1.5,5,230,NA,0.913,50,NA,36,NA,0.01826,
Wa.Ac.L.2,Wa.Ac,L,mix.low,2,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.2.1,1,210,NA,0.761,50,NA,26,NA,0.01522,
Wa.Ac.L.2,Wa.Ac,L,mix.low,2,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.2.2,2,200,NA,0.761,50,NA,26,NA,0.01522,
Wa.Ac.L.2,Wa.Ac,L,mix.low,2,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.2.3,3,180,NA,0.761,50,NA,26,NA,0.01522,
Wa.Ac.L.2,Wa.Ac,L,mix.low,2,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.2.4,4,180,NA,0.761,50,NA,26,NA,0.01522,
Wa.Ac.L.2,Wa.Ac,L,mix.low,2,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.2.5,5,180,NA,0.761,50,NA,26,NA,0.01522,
Wa.Ac.L.3,Wa.Ac,L,mix.low,3,A.cupaniana,44,50,W.acuminata,50,0.83,Wa.Ac.L.3.1,1,180,NA,0.1941,44,NA,13,NA,0.0044113636,
Wa.Ac.L.3,Wa.Ac,L,mix.low,3,A.cupaniana,44,50,W.acuminata,50,0.83,Wa.Ac.L.3.2,2,145,NA,0.1941,44,NA,13,NA,0.0044113636,
Wa.Ac.L.3,Wa.Ac,L,mix.low,3,A.cupaniana,44,50,W.acuminata,50,0.83,Wa.Ac.L.3.3,3,160,NA,0.1941,44,NA,13,NA,0.0044113636,
Wa.Ac.L.3,Wa.Ac,L,mix.low,3,A.cupaniana,44,50,W.acuminata,50,0.83,Wa.Ac.L.3.4,4,140,NA,0.1941,44,NA,13,NA,0.0044113636,
Wa.Ac.L.3,Wa.Ac,L,mix.low,3,A.cupaniana,44,50,W.acuminata,50,0.83,Wa.Ac.L.3.5,5,150,NA,0.1941,44,NA,13,NA,0.0044113636,
Wa.Ac.L.4,Wa.Ac,L,mix.low,4,A.cupaniana,46,50,W.acuminata,50,0.83,Wa.Ac.L.4.1,1,210,NA,1.0308,46,NA,28,NA,0.0224086957,
Wa.Ac.L.4,Wa.Ac,L,mix.low,4,A.cupaniana,46,50,W.acuminata,50,0.83,Wa.Ac.L.4.2,2,215,NA,1.0308,46,NA,28,NA,0.0224086957,
Wa.Ac.L.4,Wa.Ac,L,mix.low,4,A.cupaniana,46,50,W.acuminata,50,0.83,Wa.Ac.L.4.3,3,130,NA,1.0308,46,NA,28,NA,0.0224086957,
Wa.Ac.L.4,Wa.Ac,L,mix.low,4,A.cupaniana,46,50,W.acuminata,50,0.83,Wa.Ac.L.4.4,4,180,NA,1.0308,46,NA,28,NA,0.0224086957,
Wa.Ac.L.4,Wa.Ac,L,mix.low,4,A.cupaniana,46,50,W.acuminata,50,0.83,Wa.Ac.L.4.5,5,190,NA,1.0308,46,NA,28,NA,0.0224086957,
Wa.Ac.L.5,Wa.Ac,L,mix.low,5,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.5.1,1,160,NA,0.8594,50,NA,19,NA,0.017188,
Wa.Ac.L.5,Wa.Ac,L,mix.low,5,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.5.2,2,200,NA,0.8594,50,NA,19,NA,0.017188,
Wa.Ac.L.5,Wa.Ac,L,mix.low,5,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.5.3,3,215,NA,0.8594,50,NA,19,NA,0.017188,
Wa.Ac.L.5,Wa.Ac,L,mix.low,5,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.5.4,4,155,NA,0.8594,50,NA,19,NA,0.017188,
Wa.Ac.L.5,Wa.Ac,L,mix.low,5,A.cupaniana,50,50,W.acuminata,50,0.83,Wa.Ac.L.5.5,5,150,NA,0.8594,50,NA,19,NA,0.017188,
Ac.H.1,Ac,H,mono.high,1,A.cupaniana,50,50,A.cupaniana,50,NA,Ac.H.1.1,1,130,,2.871,50,NA,30,NA,0.05742,0.96
Ac.H.1,Ac,H,mono.high,1,A.cupaniana,50,50,A.cupaniana,50,NA,Ac.H.1.2,2,180,,2.871,50,NA,30,NA,0.05742,0.96
Ac.H.1,Ac,H,mono.high,1,A.cupaniana,50,50,A.cupaniana,50,NA,Ac.H.1.3,3,150,,2.871,50,NA,30,NA,0.05742,0.96
Ac.H.1,Ac,H,mono.high,1,A.cupaniana,50,50,A.cupaniana,50,NA,Ac.H.1.4,4,155,,2.871,50,NA,30,NA,0.05742,0.96
Ac.H.1,Ac,H,mono.high,1,A.cupaniana,50,50,A.cupaniana,50,NA,Ac.H.1.5,5,160,,2.871,50,NA,30,NA,0.05742,0.96
Ac.H.5,Ac,H,mono.high,5,A.cupaniana,50,50,A.cupaniana,50,NA,Ac.H.5.1,1,183,NA,1.3,50,NA,45,NA,0.026,
Ac.H.5,Ac,H,mono.high,5,A.cupaniana,50,50,A.cupaniana,50,NA,Ac.H.5.2,2,210,NA,1.3,50,NA,45,NA,0.026,
Ac.H.5,Ac,H,mono.high,5,A.cupaniana,50,50,A.cupaniana,50,NA,Ac.H.5.3,3,180,NA,1.3,50,NA,45,NA,0.026,
Ac.H.5,Ac,H,mono.high,5,A.cupaniana,50,50,A.cupaniana,50,NA,Ac.H.5.4,4,200,NA,1.3,50,NA,45,NA,0.026,
Ac.H.5,Ac,H,mono.high,5,A.cupaniana,50,50,A.cupaniana,50,NA,Ac.H.5.5,5,210,NA,1.3,50,NA,45,NA,0.026,
Ac.M.3,Ac,M,mono.high,3,A.cupaniana,46,50,A.cupaniana,50,NA,Ac.M.3.1,1,165,NA,1.2104,46,NA,27,NA,0.0263130435,
Ac.M.3,Ac,M,mono.high,3,A.cupaniana,46,50,A.cupaniana,50,NA,Ac.M.3.2,2,190,NA,1.2104,46,NA,27,NA,0.0263130435,
Ac.M.3,Ac,M,mono.high,3,A.cupaniana,46,50,A.cupaniana,50,NA,Ac.M.3.3,3,180,NA,1.2104,46,NA,27,NA,0.0263130435,
Ac.M.3,Ac,M,mono.high,3,A.cupaniana,46,50,A.cupaniana,50,NA,Ac.M.3.4,4,165,NA,1.2104,46,NA,27,NA,0.0263130435,
Ac.M.3,Ac,M,mono.high,3,A.cupaniana,46,50,A.cupaniana,50,NA,Ac.M.3.5,5,160,NA,1.2104,46,NA,27,NA,0.0263130435,
Ac.1,Ac,60,mono.60,1,A.cupaniana,55,60,A.cupaniana,60,1,Ac.1.1,1,150,NA,0.7548,33,NA,22,NA,0.0228727273,
Ac.1,Ac,60,mono.60,1,A.cupaniana,55,60,A.cupaniana,60,1,Ac.1.2,2,180,NA,0.7548,33,NA,22,NA,0.0228727273,
Ac.1,Ac,60,mono.60,1,A.cupaniana,55,60,A.cupaniana,60,1,Ac.1.3,3,145,NA,0.7548,33,NA,22,NA,0.0228727273,
Ac.1,Ac,60,mono.60,1,A.cupaniana,55,60,A.cupaniana,60,1,Ac.1.4,4,150,NA,0.7548,33,NA,22,NA,0.0228727273,
Ac.1,Ac,60,mono.60,1,A.cupaniana,55,60,A.cupaniana,60,1,Ac.1.5,5,155,NA,0.7548,33,NA,22,NA,0.0228727273,
Ac.3,Ac,60,mono.60,3,A.cupaniana,57,60,A.cupaniana,60,1,Ac.3.1,1,165,NA,0.7592,57,NA,26,NA,0.0133192982,
Ac.3,Ac,60,mono.60,3,A.cupaniana,57,60,A.cupaniana,60,1,Ac.3.2,2,130,NA,0.7592,57,NA,26,NA,0.0133192982,
Ac.3,Ac,60,mono.60,3,A.cupaniana,57,60,A.cupaniana,60,1,Ac.3.3,3,125,NA,0.7592,57,NA,26,NA,0.0133192982,
Ac.3,Ac,60,mono.60,3,A.cupaniana,57,60,A.cupaniana,60,1,Ac.3.4,4,130,NA,0.7592,57,NA,26,NA,0.0133192982,
Ac.3,Ac,60,mono.60,3,A.cupaniana,57,60,A.cupaniana,60,1,Ac.3.5,5,135,NA,0.7592,57,NA,26,NA,0.0133192982,
Ac.H.4,Ac,H,mono.60,4,A.cupaniana,50,60,A.cupaniana,60,1,Ac.H.4.1,1,168,NA,1.392,50,NA,32,NA,0.02784,0.28
Ac.H.4,Ac,H,mono.60,4,A.cupaniana,50,60,A.cupaniana,60,1,Ac.H.4.2,2,165,NA,1.392,50,NA,32,NA,0.02784,0.28
Ac.H.4,Ac,H,mono.60,4,A.cupaniana,50,60,A.cupaniana,60,1,Ac.H.4.3,3,220,NA,1.392,50,NA,32,NA,0.02784,0.28
Ac.H.4,Ac,H,mono.60,4,A.cupaniana,50,60,A.cupaniana,60,1,Ac.H.4.4,4,180,NA,1.392,50,NA,32,NA,0.02784,0.28
Ac.H.4,Ac,H,mono.60,4,A.cupaniana,50,60,A.cupaniana,60,1,Ac.H.4.5,5,200,NA,1.392,50,NA,32,NA,0.02784,0.28
Ac.M.5,Ac,M,NA,5,A.cupaniana,0,1,Control,NA,NA,Ac.M.5.NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ac.2,Ac,60,NA,2,A.cupaniana,NA,NA,A.cupaniana,NA,NA,Ac.2.,,,,,,,,,,
Ac.5,Ac,60,NA,5,A.cupaniana,NA,NA,A.cupaniana,NA,NA,Ac.5.,,,,,,,,,,
Ac.M.2,Ac,M,NA,2,A.cupaniana,NA,NA,A.cupaniana,NA,NA,Ac.M.2.,,,,,,,,,,
