yrsq,litter.cover,edge
2011.stokes.3.12,0,0
2011.stokes.3.13,8,0
2011.stokes.3.14,12,0
2011.stokes.3.15,12,0
2011.white.1.1,100,0
2011.white.1.2,96,0
2011.white.1.3,28,0
2011.white.1.4,32,0
2011.white.1.5,15,0
2011.white.1.6,83,0
2011.white.1.7,13,0
2011.white.1.8,28,0
2011.white.1.9,23,0
2011.white.1.10,8,0
2011.white.1.11,2,0
2011.white.1.12,30,0
2011.white.1.13,40,0
2011.white.1.14,47,0
2011.white.1.15,24,0
2011.white.2.1,94,0
2011.white.2.2,100,0
2011.white.2.3,85,0
2011.white.2.4,78,0
2011.white.2.5,85,0
2011.white.2.6,67,0
2011.white.2.7,12,0
2011.white.2.8,25,0
2011.white.2.9,73,0
2011.white.2.10,95,0
2011.white.2.11,25,0
2011.white.2.12,16,0
2011.white.2.13,90,0
2011.white.2.14,60,0
2011.white.2.15,4,0
2011.white.3.1,21,0
2011.white.3.2,34,0
2011.white.3.3,90,0
2011.white.3.4,95,0
2011.white.3.5,85,0
2011.white.3.6,37,0
2011.white.3.7,17,0
2011.white.3.8,30,0
2011.white.3.9,38,0
2011.white.3.10,52,0
2011.white.3.11,70,0
2011.white.3.12,89,0
2011.white.3.13,20,0
2011.white.3.14,95,0
2011.white.3.15,10,0
2011.yandi.1.1,2,0
2011.yandi.1.2,26,0
2011.yandi.1.3,0,0
2011.yandi.1.4,5,0
2011.yandi.1.5,0,0
2011.yandi.1.6,5,0
2011.yandi.1.7,0,0
2011.yandi.1.8,0,0
2011.yandi.1.9,0,0
2011.yandi.1.10,0,0
2011.yandi.1.11,0,0
