"","individual_id","plot_id","species"
"269","SHAD1_269","12L","A.calendula"
"270","SHAD1_270","12L","M.minima"
"271","SHAD1_271","12L","V.rosea"
"272","SHAD1_272","12M","A.calendula"
"273","SHAD1_273","12M","P.airoides"
"274","SHAD1_274","12N","T.cyanopetala"
"275","SHAD1_275","12O","H.glabra"
"276","SHAD1_276","15A","A.calendula"
"277","SHAD1_277","15A","H.glabra"
"278","SHAD1_278","15A","P.airoides"
"279","SHAD1_279","15A","T.cyanopetala"
"280","SHAD1_280","15B","A.calendula"
"281","SHAD1_281","15B","M.minima"
"282","SHAD1_282","15B","P.canescens"
"283","SHAD1_283","15B","T.cyanopetala"
"284","SHAD1_284","15C","H.glutinosum"
"285","SHAD1_285","15C","M.minima"
"286","SHAD1_286","15C","P.canescens"
"287","SHAD1_287","15C","T.cyanopetala"
"288","SHAD1_288","15D","H.glutinosum"
"289","SHAD1_289","15D","P.canescens"
"290","SHAD1_290","15D","T.cyanopetala"
"291","SHAD1_291","15D","V.rosea"
"292","SHAD1_292","15E","A.calendula"
"293","SHAD1_293","15E","H.glutinosum"
"294","SHAD1_294","15E","M.minima"
"295","SHAD1_295","15E","P.canescens"
"296","SHAD1_296","15F","A.calendula"
"297","SHAD1_297","15F","H.glabra"
"298","SHAD1_298","15F","P.airoides"
"299","SHAD1_299","15F","P.canescens"
"300","SHAD1_300","15F","V.rosea"
"301","SHAD1_301","15G","H.glabra"
"302","SHAD1_302","15G","V.rosea"
"303","SHAD1_303","15H","H.glabra"
"304","SHAD1_304","15H","M.minima"
"305","SHAD1_305","15H","P.canescens"
"306","SHAD1_306","15I","H.glutinosum"
"307","SHAD1_307","15I","P.airoides"
"308","SHAD1_308","15I","P.canescens"
"309","SHAD1_309","15I","V.rosea"
"310","SHAD1_310","15J","H.glutinosum"
"311","SHAD1_311","15J","P.airoides"
"312","SHAD1_312","15J","V.rosea"
"313","SHAD1_313","15K","H.glabra"
"314","SHAD1_314","15L","V.rosea"
"315","SHAD1_315","15M","M.minima"
"316","SHAD1_316","15M","T.cyanopetala"
"317","SHAD1_317","2A","H.glutinosum"
"318","SHAD1_318","2A","P.airoides"
"319","SHAD1_319","2A","P.canescens"
"320","SHAD1_320","2B","A.calendula"
"321","SHAD1_321","2B","H.glutinosum"
"322","SHAD1_322","2B","P.airoides"
"323","SHAD1_323","2B","P.canescens"
"324","SHAD1_324","2B","T.cyanopetala"
"325","SHAD1_325","2C","H.glutinosum"
"326","SHAD1_326","2C","P.airoides"
"327","SHAD1_327","2C","V.rosea"
"328","SHAD1_328","2D","H.glabra"
"329","SHAD1_329","2D","H.glutinosum"
"330","SHAD1_330","2D","P.airoides"
"331","SHAD1_331","2E","H.glabra"
"332","SHAD1_332","2E","M.minima"
"333","SHAD1_333","2E","P.canescens"
"334","SHAD1_334","2E","T.cyanopetala"
"335","SHAD1_335","2F","H.glabra"
"336","SHAD1_336","2F","M.minima"
"337","SHAD1_337","2F","P.canescens"
"338","SHAD1_338","2F","T.cyanopetala"
"339","SHAD1_339","2G","A.calendula"
"340","SHAD1_340","2G","M.minima"
"341","SHAD1_341","2G","T.cyanopetala"
"342","SHAD1_342","2G","V.rosea"
"343","SHAD1_343","2H","A.calendula"
"344","SHAD1_344","2H","H.glabra"
"345","SHAD1_345","2H","V.rosea"
"346","SHAD1_346","2I","A.calendula"
"347","SHAD1_347","2I","M.minima"
"348","SHAD1_348","2I","V.rosea"
"349","SHAD1_349","2J","V.rosea"
"350","SHAD1_350","2K","H.glabra"
"351","SHAD1_351","2K","P.canescens"
"352","SHAD1_352","2K","T.cyanopetala"
"353","SHAD1_353","2L","A.calendula"
"354","SHAD1_354","2L","V.rosea"
"355","SHAD1_355","6A","H.glutinosum"
"356","SHAD1_356","6A","P.airoides"
"357","SHAD1_357","6A","P.canescens"
"358","SHAD1_358","6B","H.glabra"
"359","SHAD1_359","6B","H.glutinosum"
"360","SHAD1_360","6B","P.airoides"
"361","SHAD1_361","6C","H.glabra"
"362","SHAD1_362","6C","H.glutinosum"
"363","SHAD1_363","6C","P.airoides"
"364","SHAD1_364","6D","A.calendula"
"365","SHAD1_365","6D","H.glutinosum"
"366","SHAD1_366","6D","T.cyanopetala"
"367","SHAD1_367","6E","A.calendula"
"368","SHAD1_368","6E","P.airoides"
"369","SHAD1_369","6E","P.canescens"
"370","SHAD1_370","6F","A.calendula"
"371","SHAD1_371","6F","H.glabra"
"372","SHAD1_372","6F","P.canescens"
"373","SHAD1_373","6F","V.rosea"
"374","SHAD1_374","6G","H.glabra"
"375","SHAD1_375","6G","M.minima"
"376","SHAD1_376","6H","M.minima"
"377","SHAD1_377","6H","V.rosea"
"378","SHAD1_378","6I","A.calendula"
"379","SHAD1_379","6I","M.minima"
"380","SHAD1_380","6J","M.minima"
"381","SHAD1_381","6J","V.rosea"
"382","SHAD1_382","6K","T.cyanopetala"
"383","SHAD1_383","6K","V.rosea"
"384","SHAD1_384","6L","P.canescens"
"385","SHAD1_385","6L","T.cyanopetala"
"386","SHAD1_386","6M","V.rosea"
"387","SHAD1_387","6N","V.rosea"
"388","SHAD1_388","6O","T.cyanopetala"
