"","Near_log_id","plot_id","Log_near","date_collected","notes"
"130",130,"12I",1,2015,NA
"131",131,"12J",1,2015,NA
"132",132,"12J",1,2015,NA
"133",133,"12J",1,2015,NA
"134",134,"12J",1,2015,NA
"135",135,"12K",1,2015,NA
"136",136,"12K",1,2015,NA
"137",137,"12K",1,2015,NA
"138",138,"12K",1,2015,NA
"139",139,"12K",1,2015,NA
"140",140,"12K",1,2015,NA
"141",141,"12K",1,2015,NA
"142",142,"12K",1,2015,NA
"143",143,"12L",0,2015,NA
"144",144,"12L",0,2015,NA
"145",145,"12L",0,2015,NA
"146",146,"12L",0,2015,NA
"147",147,"12L",0,2015,NA
"148",148,"12M",0,2015,NA
"149",149,"12M",0,2015,NA
"150",150,"12M",0,2015,NA
"151",151,"12M",0,2015,NA
"152",152,"12N",1,2015,NA
"153",153,"12N",1,2015,NA
"154",154,"12O",1,2015,NA
"155",155,"12O",1,2015,NA
"156",156,"15A",1,2015,NA
"157",157,"15A",1,2015,NA
"158",158,"15A",1,2015,NA
"159",159,"15A",1,2015,NA
"160",160,"15A",1,2015,NA
"161",161,"15A",1,2015,NA
"162",162,"15A",1,2015,NA
"163",163,"15A",1,2015,NA
"164",164,"15B",1,2015,NA
"165",165,"15B",1,2015,NA
"166",166,"15B",1,2015,NA
"167",167,"15B",1,2015,NA
"168",168,"15B",1,2015,NA
"169",169,"15B",1,2015,NA
