"","height_id","individual_id","height_mm","date_collected","notes"
"127",127,"SHAD1_127",60,2015,NA
"128",128,"SHAD1_128",40,2015,NA
"129",129,"SHAD1_129",400,2015,NA
"130",130,"SHAD1_130",70,2015,NA
"131",131,"SHAD1_131",60,2015,NA
"132",132,"SHAD1_132",90,2015,NA
"133",133,"SHAD1_133",100,2015,NA
"134",134,"SHAD1_134",30,2015,NA
"135",135,"SHAD1_135",60,2015,NA
"136",136,"SHAD1_136",50,2015,NA
"137",137,"SHAD1_137",40,2015,NA
"138",138,"SHAD1_138",70,2015,NA
"139",139,"SHAD1_139",290,2015,NA
"140",140,"SHAD1_140",70,2015,NA
"141",141,"SHAD1_141",40,2015,NA
"142",142,"SHAD1_142",95,2015,NA
"143",143,"SHAD1_143",280,2015,NA
"144",144,"SHAD1_144",70,2015,NA
