Plot,Class.Litt,Class.Bare,Class.Woody,Per.Litt,Per.Bare,Per.Woody,Lat,Long,Elevation,Name,Density,Block,Num.Indivs,Num.Species,Num.Focal.Species,Focals,Beta.Diversity,Soil.P,Soil.Water,Canopy.Cover,UTM.Long,UTM.Lat,Dist.to.Lat.edge,Dist.to.Long.edge,NOTES
57,T,1,1,0.5,3.1,3.1,-29.47942344,116.196744,299.8145752,H057D030,30,3,0,15,3,PEAI.POCA.VERO,0,16.6,16.7765869744,15.7,422125.345405743,-3261372.17172679,85.6670273344,185.4804434915,
58,T,2,1,0.5,10.5,3.1,-29.47949133,116.1967564,298.612915,H058D030,30,3,0,8,3,PEAI.POCA.VERO,0,12,16.0943318163,15.8,422126.599512773,-3261379.68598602,78.1095471048,186.6819681345,
59,1,1,1,3.1,3.1,3.1,-29.47947649,116.1967673,299.0935059,H059D100,100,3,0,6,3,PEAI.POCA.VERO,0,9.7,18.2868525896,27.5,422127.644944257,-3261378.0343481,79.761528348,187.7382837514,
60,T,2,4,0.5,10.5,40.5,-29.47956308,116.196546,297.6516113,H060D100,100,3,0,14,3,ARCA.PEAI.POCA,0,16,21.3708124759,23.1,422106.255684861,-3261387.77700679,70.1223736407,166.2925822995,
61,2,2,T,10.5,10.5,0.5,-29.47857385,116.1972212,301.2565918,H061D100,100,4,0,10,2,ARCA.PEAI,0,8.7,15.8646003263,18.4,422170.961791419,-3261277.71377014,180.2429535178,231.7265173266,
62,T,2,T,0.5,10.5,0.5,-29.4785575,116.1970743,301.4969482,H062D030,30,4,0,10,1,PEAI,0,21.1,16.8224299065,6.4,422156.706924913,-3261276.00032265,182.0630271921,217.4907605924,
63,3,5,1,23,60.5,3.1,-29.47848978,116.1971833,301.9776611,H063D060,60,4,0,10,1,PEAI,0,7.9,16.9053301512,22.1,422167.223043448,-3261268.42373005,189.6015831084,228.0538915744,
64,T,1,1,0.5,3.1,3.1,-29.47841903,116.197347,301.7373047,H064D100,100,4,0,11,3,ARCA.PEAI.VERO,0,19,16.779864163,15,422183.040189505,-3261260.47484502,197.477437082,243.9179219643,
65,1,3,T,3.1,23,0.5,-29.47841501,116.1973677,301.7373047,H065D030,30,4,0,8,2,ARCA.VERO,0,12,20.6441598758,7,422185.044045456,-3261260.01557292,197.9249414355,245.9239313157,
66,T,2,3,0.5,10.5,23,-29.47853797,116.1975025,301.7373047,H066D060,60,4,0,13,1,ARCA,0,14.9,17.1656686627,32.1,422198.207220743,-3261273.55006473,184.237096847,258.9868420784,
67,T,2,T,0.5,10.5,0.5,-29.47843328,116.1974162,301.9776611,H067D030,30,4,231,11,4,ARCA.PEAI.POCA.VERO,0,12.4,15.763546798,1.5,422189.760220861,-3261262.00756425,195.8911343383,250.6239336909,
68,1,2,3,3.1,10.5,23,-29.47824972,116.1975501,266.4089355,H068D100,100,4,0,7,3,ARCA.PEAI.VERO,0,11.3,18.1417701241,1.3,422202.602035832,-3261241.57871196,216.3249400683,263.6004162937,
69,1,4,1,3.1,40.5,3.1,-29.4783337,116.197505,303.1791992,H069D100,100,4,0,6,1,VERO,0,11.3,19.7028928851,0.7,422198.293589408,-3261250.91425491,206.9763292316,259.2296347048,
70,T,4,T,0.5,40.5,0.5,-29.4781483,116.1972146,302.6986084,H070D100,100,4,0,3,1,VERO,0,17.2,20.9094442285,19.5,422169.996767189,-3261230.56510974,227.6149628244,231.0878944332,
71,T,6,2,0.5,85.5,10.5,-29.47814813,116.1972655,302.9388428,H071D100,100,4,0,7,1,PEAI,0,23.1,24.9633967789,39.8,422174.931557453,-3261230.51224634,227.6338871377,236.0205350338,
72,2,4,T,10.5,40.5,0.5,-29.47860268,116.1972075,303.1791992,H072D060,60,4,0,12,3,ARCA.PEAI.VERO,0,4.1,17.1729445119,18.3,422169.655565024,-3261280.91743753,177.0336125981,230.398811577,
73,3,1,3,23,3.1,23,-29.47861525,116.1971754,304.3808594,H073D100,100,4,0,13,3,ARCA.PEAI.VERO,0,13.7,16.0924199433,18.5,422166.55298422,-3261282.33171688,175.6343265989,227.2880360288,
74,T,3,1,0.5,23,3.1,-29.47846337,116.1974371,303.6599121,H074D060,60,4,64,13,2,ARCA.PEAI,0,11.3,16.7335473515,7.5,422191.809521481,-3261265.32771855,192.5415308602,252.6492396392,
75,1,1,3,3.1,3.1,23,-29.47842649,116.1974861,304.6212158,H075D030,30,4,0,11,1,ARCA,0,11,15.2200740436,2.4,422196.532047437,-3261261.20848224,196.6469936807,257.397832677,
76,T,3,T,0.5,23,0.5,-29.47836606,116.1973745,303.6599121,H076D100,100,4,0,11,2,ARCA.PEAI,0,13,19.0513833992,7,422185.665933636,-3261254.58712262,203.3740305096,246.5830261367,
77,1,5,2,3.1,60.5,10.5,-29.47817445,116.1972441,302.9388428,H077D060,60,4,0,12,2,ARCA.PEAI,0,20.9,21.8964204113,33,422172.876866586,-3261233.44293974,224.7039581404,233.9466334111,
78,2,4,1,10.5,40.5,3.1,-29.47853613,116.1974177,302.2178955,H078D030,30,4,0,14,2,ARCA.PEAI,0,49.2,17.6868044515,24.6,422189.984211827,-3261273.40285706,184.4419247105,250.7690415008,
79,T,3,T,0.5,23,0.5,-29.47841618,116.1974131,301.7373047,H079D030,30,4,0,15,3,PEAI.POCA.VERO,0,12.5,18.3333333333,4.7,422189.446604841,-3261260.11487049,197.794697631,250.3235605651,
80,T,1,1,0.5,3.1,3.1,-29.47838492,116.1974196,302.458252,H080D060,60,4,0,11,2,PEAI.POCA,0,10.7,18.4645669291,2.3,422190.052921567,-3261256.64676159,201.2745449129,250.9535412352,
81,T,3,2,0.5,23,10.5,-29.47944188,116.1974992,304.1405029,H081D100,100,5,163,9,3,PEAI.POCA.VERO,0,14,16.2305805397,7,422198.577664559,-3261373.71003371,83.6142959245,258.6647386045,
82,T,4,2,0.5,40.5,10.5,-29.47942578,116.1974725,303.4195557,H082D100,100,5,0,12,3,PEAI.POCA.VERO,0,14.6,16.862586137,7.8,422195.976748461,-3261371.94391671,85.406539726,256.0773566395,
83,1,2,T,3.1,10.5,0.5,-29.47945596,116.1975696,304.6212158,H083D100,100,5,0,15,4,ARCA.PEAI.POCA.VERO,0,10.9,18.8805675995,2.7,422205.413839243,-3261375.22312217,82.0469174941,265.4869696667,
84,1,2,T,3.1,10.5,0.5,-29.47945286,116.1975521,303.1791992,H084D100,100,5,0,10,4,ARCA.PEAI.POCA.VERO,0,11.6,14.338997099,8.1,422203.714811724,-3261374.89132095,82.3920079159,263.7911017054,
85,T,2,T,0.5,10.5,0.5,-29.47947918,116.197532,302.6986084,H085D030,30,5,0,11,4,ARCA.PEAI.POCA.VERO,0,13.7,17.1393841167,7.3,422201.786178711,-3261377.82114134,79.4620789179,261.8431988965,
86,T,T,1,0.5,0.5,3.1,-29.47947809,116.197564,302.6986084,H086D100,100,5,0,12,4,ARCA.PEAI.POCA.VERO,0,11.4,17.4367215749,2.8,422204.887809404,-3261377.67897953,79.583417163,264.9442314907,
87,1,5,3,3.1,60.5,23,-29.47943358,116.1977185,302.458252,H087D100,100,5,0,6,2,POCA.VERO,0,7.2,14.4633236635,13,422219.832902269,-3261372.64381379,84.5382476981,279.9165138016,
