Date,ID,SP,ind,buds,flowers,fruits,max.height.mm,shape.long,shape.90,phen,group,num.focal,lateral,shape,notes
8.2.2016,H061D100,ARCA,8,2,0,0,81,99,86,4,A.PE,2,92.5,1.1419753086,.
8.2.2016,H061D100,ARCA,9,8,0,0,87,142,106,4,A.PE,2,124,1.4252873563,.
8.2.2016,H061D100,ARCA,10,2,0,0,69,79,23,4,A.PE,2,51,0.7391304348,.
8.2.2016,H061D100,PEAI,1,0,0,0,26,25,18,2,A.PE,2,21.5,0.8269230769,.
8.2.2016,H061D100,PEAI,2,0,0,0,31,16,6,2,A.PE,2,11,0.3548387097,.
8.2.2016,H061D100,PEAI,3,0,0,0,35,22,19,2,A.PE,2,20.5,0.5857142857,.
8.2.2016,H061D100,PEAI,4,0,0,0,34,15,8,2,A.PE,2,11.5,0.3382352941,.
8.2.2016,H061D100,PEAI,5,0,0,0,38,25,18,2,A.PE,2,21.5,0.5657894737,.
8.2.2016,H061D100,PEAI,6,0,0,0,46,31,10,2,A.PE,2,20.5,0.4456521739,.
8.2.2016,H061D100,PEAI,7,0,0,0,36,19,4,2,A.PE,2,11.5,0.3194444444,.
8.2.2016,H061D100,PEAI,8,0,0,0,21,9,2,2,A.PE,2,5.5,0.2619047619,.
8.2.2016,H061D100,PEAI,9,0,0,0,42,29,7,2,A.PE,2,18,0.4285714286,.
8.2.2016,H061D100,PEAI,10,0,0,0,50,43,26,2,A.PE,2,34.5,0.69,.
8.2.2016,H064D100,ARCA,1,21,6,0,108,205,209,6,A.PE.V,3,207,1.9166666667,.
8.2.2016,H064D100,ARCA,2,4,0,0,40,67,58,4,A.PE.V,3,62.5,1.5625,.
8.2.2016,H064D100,ARCA,3,3,0,0,66,119,57,4,A.PE.V,3,88,1.3333333333,.
8.2.2016,H064D100,ARCA,4,4,0,0,74,106,98,4,A.PE.V,3,102,1.3783783784,.
8.2.2016,H064D100,ARCA,5,4,0,0,63,81,31,4,A.PE.V,3,56,0.8888888889,.
8.2.2016,H064D100,ARCA,6,2,0,0,96,95,82,4,A.PE.V,3,88.5,0.921875,.
8.2.2016,H064D100,PEAI,1,0,0,0,28,34,25,2,A.PE.V,3,29.5,1.0535714286,.
8.2.2016,H064D100,PEAI,2,4,1,0,76,135,96,6,A.PE.V,3,115.5,1.5197368421,.
8.2.2016,H064D100,PEAI,3,2,0,0,48,82,61,4,A.PE.V,3,71.5,1.4895833333,.
8.2.2016,H064D100,PEAI,4,0,0,0,51,46,28,2,A.PE.V,3,37,0.7254901961,.
8.2.2016,H064D100,PEAI,5,0,0,0,53,37,29,2,A.PE.V,3,33,0.6226415094,.
8.2.2016,H064D100,PEAI,6,3,0,0,70,127,122,4,A.PE.V,3,124.5,1.7785714286,.
8.2.2016,H064D100,PEAI,7,0,0,0,42,50,31,2,A.PE.V,3,40.5,0.9642857143,.
8.2.2016,H064D100,PEAI,8,0,0,0,41,28,22,2,A.PE.V,3,25,0.6097560976,.
8.2.2016,H064D100,PEAI,9,0,0,0,38,54,41,2,A.PE.V,3,47.5,1.25,.
8.2.2016,H064D100,PEAI,10,1,0,0,39,48,43,4,A.PE.V,3,45.5,1.1666666667,.
8.2.2016,H064D100,VERO,1,.,0,0,39,212,159,4,A.PE.V,3,185.5,4.7564102564,.
8.4.2016,H068D100,ARCA,1,3,0,0,67,58,32,4,A.PE.V,3,45,0.671641791,.
8.4.2016,H068D100,ARCA,2,1,0,0,58,20,17,4,A.PE.V,3,18.5,0.3189655172,.
8.4.2016,H068D100,ARCA,3,1,0,0,66,33,2,4,A.PE.V,3,17.5,0.2651515152,.
8.4.2016,H068D100,ARCA,4,2,0,0,56,68,58,4,A.PE.V,3,63,1.125,.
8.4.2016,H068D100,ARCA,5,1,0,0,30,22,12,4,A.PE.V,3,17,0.5666666667,.
8.4.2016,H068D100,ARCA,6,5,0,0,173,148,135,4,A.PE.V,3,141.5,0.8179190751,.
8.4.2016,H068D100,ARCA,7,1,0,0,43,62,50,4,A.PE.V,3,56,1.3023255814,.
8.4.2016,H068D100,ARCA,8,2,0,0,72,47,4,4,A.PE.V,3,25.5,0.3541666667,.
8.4.2016,H068D100,ARCA,9,1,0,0,69,45,43,4,A.PE.V,3,44,0.6376811594,.
8.4.2016,H068D100,ARCA,10,1,0,0,80,45,26,4,A.PE.V,3,35.5,0.44375,.
8.4.2016,H068D100,PEAI,1,0,0,0,14,14,8,2,A.PE.V,3,11,0.7857142857,.
8.4.2016,H068D100,PEAI,2,0,0,0,18,14,3,2,A.PE.V,3,8.5,0.4722222222,.
8.4.2016,H068D100,PEAI,3,0,0,0,26,20,110,2,A.PE.V,3,65,2.5,.
8.4.2016,H068D100,PEAI,4,0,0,0,35,25,2,2,A.PE.V,3,13.5,0.3857142857,.
8.4.2016,H068D100,PEAI,5,0,0,0,37,32,6,2,A.PE.V,3,19,0.5135135135,.
8.4.2016,H068D100,PEAI,6,0,0,0,32,14,5,2,A.PE.V,3,9.5,0.296875,.
8.4.2016,H068D100,PEAI,7,0,0,0,39,34,2,2,A.PE.V,3,18,0.4615384615,.
8.4.2016,H068D100,PEAI,8,0,0,0,28,15,2,2,A.PE.V,3,8.5,0.3035714286,.
8.4.2016,H068D100,PEAI,9,0,0,0,30,20,6,2,A.PE.V,3,13,0.4333333333,.
8.4.2016,H068D100,PEAI,10,0,0,0,14,23,4,2,A.PE.V,3,13.5,0.9642857143,.
8.4.2016,H068D100,VERO,1,11,0,0,48,78,40,4,A.PE.V,3,59,1.2291666667,.
8.4.2016,H068D100,VERO,2,11,0,0,45,71,70,4,A.PE.V,3,70.5,1.5666666667,.
8.4.2016,H068D100,VERO,3,9,0,0,61,98,85,4,A.PE.V,3,91.5,1.5,.
